Name,Position Name,Duración Total,Total Distance (m),Mts/Min,Mts >16km/h,% MTS 16-19 KM/H,MTS 16-19 KM/H,% MTS 19-24 KM/H,MTS 19-24 KM/H,% MTS >24 KM/H,Mts > 24km/h,# Sp>24 Km/H  (G2),% MTS >19 KM/H,Mts >19 km/h,MTS >85% VEL IND,Velocidad Max. (km/h),Total Player Load,PL MIN,"ACEL>2,5","DIST Acel>2,5","DES>-2,5","DIST Dec>-2,5",ESF EXP,Total Acceleration Load
JUG 29,DELANTERO,47,3205.72665,68.43872,350.41,5.80555,186.11,3.50654,112.41,1.61867,51.89,5,5.12521,164.3,5.05,27.6511,355.98655,7.59992,52,165.31,45,53.37,172,1447.03429
JUG 43,DEFENSOR LAT,47,3250.49168,69.47474,365.85,5.62376,182.8,2.57714,83.77,3.0543,99.28,11,5.63144,183.05,55.3,30.11129,416.43156,8.90065,52,178.77,44,69.38,125,1558.36751
JUG 21,MEDIOCAMPISTA CENTRAL,47,3285.75201,70.14717,400.76,5.78741,190.16,4.46655,146.76,1.94293,63.84,7,6.40948,210.6,17.03,28.18596,412.7452,8.81165,51,154.76,45,54.91,141,1503.51404
JUG 19,DELANTERO,46,2988.99599,64.82246,265.25,5.03079,150.37,3.75778,112.32,0.08565,2.56,0,3.84343,114.88,0.0,24.42041,341.86669,7.41407,51,161.9,23,42.58,98,1311.28911
JUG 30,MEDIOCAMPISTA CENTRAL,47,3552.09114,76.19052,458.13999,5.88555,209.05999,5.34502,189.86,1.66718,59.22,5,7.0122,249.08,5.05,26.97598,409.59941,8.7857,51,166.33,38,65.07,145,1540.16171
JUG 8,MEDIOCAMPISTA OFENSIVO,46,3221.1965,69.8966,416.61,6.37465,205.34,4.22731,136.17,2.33143,75.1,8,6.55874,211.27,15.25,28.85018,366.47076,7.95203,51,156.29,45,62.9,115,1404.0412
JUG 46,DELANTERO,47,3210.9435,68.74799,333.3,4.55629,146.3,3.15328,101.25,2.67055,85.75,8,5.82383,187.0,58.09,28.19698,379.60771,8.1276,50,137.48,39,53.68,154,1441.12104
JUG 10,MEDIOCAMPISTA OFENSIVO,46,3270.23683,70.34381,379.39,6.15858,201.4,3.8988,127.5,1.54392,50.49,5,5.44272,177.99,0.0,27.56401,439.85768,9.46148,49,144.8,34,51.32,101,1421.90703
JUG 26,DEFENSOR CENTRAL,47,3189.81216,68.54013,454.25,7.7387,246.85,3.90462,124.55,2.59734,82.85,9,6.50196,207.4,20.89,28.99511,350.16654,7.5241,48,155.47,44,63.68,144,1348.36735
JUG 25,DELANTERO,46,3211.06267,69.07096,373.94001,6.41065,205.85001,4.79436,153.95,0.44035,14.14,1,5.23471,168.09,0.0,24.55081,406.01765,8.73357,47,139.69,34,46.48,159,1379.82432
JUG 13,DEFENSOR CENTRAL,46,3108.65852,66.86821,311.81999,5.47085,170.06999,3.8856,120.79,0.67425,20.96,2,4.55985,141.75,0.0,26.85567,384.05276,8.26109,47,148.74,32,43.97,93,1394.85633
JUG 35,DEFENSOR LAT,47,3004.11417,64.55,428.1,7.62987,229.21,4.83537,145.26,1.78522,53.63,6,6.62059,198.89,3.83,28.83342,373.93638,8.03485,46,129.16,34,59.59,140,1339.77264
JUG 28,MEDIOCAMPISTA CENTRAL,46,3437.54862,74.50176,326.92,5.30087,182.22,3.61304,124.2,0.59636,20.5,2,4.2094,144.7,1.37,26.6877,431.87249,9.35994,46,126.13,27,39.92,132,1387.76015
JUG 9,DELANTERO,46,3152.80583,68.20712,315.28,4.78748,150.94,3.52163,111.03,1.69088,53.31,6,5.21251,164.34,0.0,27.11045,368.3924,7.96972,42,140.68,31,39.03,100,1384.58646
JUG 40,Goal Keeper,87,3405.31596,39.06732,66.51,1.12824,38.42,0.82488,28.09,0.0,0.0,0,0.82488,28.09,0.0,23.16288,405.95449,4.65729,38,113.37,34,58.14,202,1866.7014
JUG 18,DEFENSOR CENTRAL,46,2930.70279,63.59319,262.3,4.96843,145.61,3.16886,92.87,0.81277,23.82,2,3.98163,116.69,0.0,25.43783,340.47941,7.38805,35,120.54,28,45.67,122,1292.11983
JUG 45,Goal Keeper,87,3244.21165,37.21906,58.51,1.49898,48.63,0.30454,9.88,0.0,0.0,0,0.30454,9.88,0.0,21.09774,408.85344,4.69055,31,114.12,36,49.06,219,1898.77436
JUG 24,DEFENSOR LAT,46,2918.23361,63.24668,264.54,3.94005,114.98,3.15603,92.1,1.969,57.46,7,5.12503,149.56,0.0,27.66643,329.55729,7.14247,30,101.1,31,47.91,103,1327.65437
JUG 3,DEFENSOR LAT,35,4765.65332,135.45201,1867.38999,22.75952,1084.63998,14.44733,688.51001,1.97748,94.24,11,16.42481,782.75001,24.9,29.16708,396.58804,11.27204,13,71.13,4,6.34,8,600.64291
